OBJECTID,x,y,Sheltered_Coastline,Geomorphology_Hazard,Elevation_Hazard,Sea_Level_Rise_Hazard,Wave_Hazard,storm_surge_hazard,Erosion_Rate_Hazard,Forest_Present,Marsh_Present,Dune_Present,Oyster_Reef_Present,Underwater_Grass_Present,Hazard_with_Habitats,Hazard_without_Habitats,Hazard_Reduction_by_Habitats,Community_Flood_Risk_Max,Community_Flood_Risk_Nearest,County,EI_wHAB,EI_woHAB_x,hab_role,NearRiskD,Latitude,Longitude,PercentBufferOccupied,HabScore,PercentRemaining2100,PercentBufferRemain,PersistScore,AreaScore,PDI,SVI,PeopleScore,EI_woHAB_y,Probability,HazScore,TotalScore,Overall_Rating,Shape__Area,Shape__Length,Hazard_Reduction_by_Habitats_Numeric,Hazard_with_Habitats_Numeric,Hazard_without_Habitats_Numeric,Community_Flood_Risk_Max_Numeric
5,403048.774493,4385197.23155,Yes,Very High,Very Low,Low,Low,Very Low,Low,1,0,0,0,0,Low,Moderate,Low,Moderate,Low,Harford,1.84218001,2.13165998,0.289478,507.52838135,39.6102623,-76.12938601,63.12449612,4,2.72189432,20.42070518,2,5,40,60,3,4.05412006,0.9,5,19,Very High,11128104.88152401,88968.24880929838,1.0,1,2,2.0
6,403298.774493,4385197.23155,Yes,High,Very Low,Low,Low,Very Low,Low,1,0,0,0,0,Low,Moderate,Low,Moderate,Low,Cecil,1.78438997,2.06478,0.28039601,287.32260132,39.61029448,-76.12647435,34.45641388,2,0.0,22.25074808,1,2,20,100,3,3.98646998,0.9,5,13,Medium,16374.40764871,948.8462493723284,1.0,1,2,2.0
7,403548.774493,4385197.23155,Yes,Moderate,Very Low,Low,Low,Very Low,Very Low,1,0,0,0,0,Low,Low,Low,Moderate,Low,Cecil,1.55109,1.79481995,0.243736,98.96464539,39.61032659,-76.12356269,62.96584272,4,0.0,9.81833909,1,1,20,100,3,3.35653996,0.9,5,14,High,184.520098145,84.59882358035222,1.0,1,1,2.0
11,403548.774493,4384947.23155,Yes,Moderate,Very Low,Low,Low,Very Low,Very Low,1,0,0,0,0,Low,Low,Low,Moderate,Low,Cecil,1.55109,1.79481995,0.243736,99.380867,39.61032654,-76.12356775,70.71623771,4,70.06635129,15.51907578,5,1,20,100,3,0.0,0.9,2,15,High,534.72137998,168.86032916693583,1.0,1,1,2.0
16,403048.774493,4384197.23155,Yes,Low,Very Low,Low,Low,Very Low,Low,0,0,0,0,1,Low,Low,Low,Moderate,Low,Harford,1.83776999,1.87012005,0.0323551,1130.37097168,39.60128062,-76.13053838,38.69592089,2,73.81839073,36.4868495,5,2,20,100,3,4.22419977,0.9,5,17,Very High,3727.461246315,359.18530332948893,1.0,1,1,2.0
17,404298.774493,4384197.23155,Yes,Very Low,Very Low,Low,Moderate,Very Low,Very Low,0,0,0,0,0,Low,Low,Low,Moderate,Low,Cecil,1.57740998,1.62560999,0.0482066,51.69618225,39.60265307,-76.11408515,37.09155435,2,66.81546671,19.86251128,5,4,0,0,0,4.22419977,0.9,5,16,Very High,1544297.56424704,17365.062859193407,1.0,1,1,2.0
18,403048.774493,4383947.23155,Yes,Moderate,Very Low,Low,Low,Very Low,Low,0,0,0,0,0,Low,Low,Low,Moderate,Low,Harford,1.92288005,1.98164999,0.0587645,1140.6763916,39.5996775,-76.12948704,45.92919465,3,61.37161039,48.83804864,5,4,20,100,3,4.22419977,0.9,5,20,Very High,4663477.191604435,60766.96532338208,1.0,1,1,2.0
19,404548.774493,4383947.23155,Yes,Very Low,Very Low,Low,Moderate,Very Low,Very Low,0,0,0,0,0,Low,Low,Low,Moderate,Low,Cecil,1.57740998,1.62560999,0.0482066,124.55612183,39.60049371,-76.11094684,36.37173656,2,4.76253175,11.18255279,2,4,40,100,4,3.9498899,0.9,5,17,Very High,2469752.86875604,27370.47268247739,1.0,1,1,2.0
20,403298.774493,4383697.23155,Yes,Low,Very Low,Low,Low,Very Low,Low,0,0,0,0,0,Low,Low,Low,Moderate,Moderate,Harford,1.81465995,1.87012005,0.0554574,1211.15966797,39.59705826,-76.12755353,35.5606586,2,97.76015707,40.9293707,5,1,20,100,3,3.35653996,0.9,5,16,Very High,1219.07800028,251.51055584818707,1.0,1,1,2.0
21,404798.774493,4383697.23155,Yes,Very High,Very Low,Low,Low,Very Low,Low,0,0,0,0,0,Moderate,Moderate,Low,Moderate,Low,Cecil,2.06844997,2.13165998,0.0632131,206.29472351,39.59801645,-76.1081843,35.53269203,2,100.0,25.1794914,5,1,20,100,3,3.98646998,0.9,5,16,Very High,687.98512441,132.21155268848446,1.0,2,2,2.0
